,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
11,0.0,0.0,0.0,0.0,14.5,4.75,8.0,0.0,15.5,24.5,16.0,8.75,13.25,8.75,48.0,77.75,30.5,28.0,33.5,44.0,65.25,34.75,45.75,62.25,31.0,33.0,20.0,35.5,20.0,7.5,17.5,0.0,12.75,12.0,15.0,9.0,4.5,0.0,8.0,5.0,0.0,5.0,37.25,60.75,45.0,76.5,34.25,30.75,28.75,4.5,8.0,,
12,0.0,0.0,9.5,0.0,9.5,4.75,0.0,0.0,0.0,54.0,28.0,8.75,32.25,8.75,72.0,70.75,67.5,41.5,54.0,66.5,31.75,62.25,59.25,69.75,16.5,13.5,12.5,0.0,25.5,0.0,30.0,10.0,4.75,14.5,35.5,0.0,24.0,10.0,0.0,15.0,0.0,15.5,67.25,55.25,21.5,37.0,57.75,35.25,13.75,4.5,0.0,,
13,0.0,4.5,0.0,9.5,9.5,19.5,0.0,0.0,30.25,63.5,27.5,14.0,18.0,37.0,8.75,64.25,27.25,76.5,31.25,45.5,79.0,42.75,49.5,75.5,21.0,26.5,35.5,4.25,53.25,0.0,24.5,4.75,15.25,15.0,20.5,17.0,10.5,0.0,0.0,0.0,0.0,28.25,5.75,30.25,33.5,57.25,33.5,9.5,19.0,8.5,20.25,,
14,0.0,0.0,4.5,0.0,12.75,13.5,0.0,0.0,17.75,38.25,25.5,0.0,8.5,28.75,58.25,33.5,50.75,34.25,34.0,87.5,29.75,46.25,79.25,76.75,12.5,12.25,24.75,0.0,4.5,13.5,23.0,23.25,29.0,23.0,24.25,0.0,27.5,9.0,0.0,13.75,0.0,38.5,23.25,28.75,31.0,29.25,49.25,37.25,35.25,0.0,4.5,3.75,
15,0.0,0.0,0.0,0.0,15.75,4.5,3.25,0.0,47.0,39.25,45.5,10.0,10.0,13.75,38.0,48.0,37.25,42.5,30.25,29.75,62.25,47.25,66.0,54.25,26.0,27.75,35.25,12.5,36.0,3.0,28.5,17.0,4.75,10.5,0.0,9.0,0.0,0.0,3.25,0.0,0.0,37.75,13.5,30.5,37.0,57.25,61.25,24.75,16.25,2.75,10.5,,
16,0.0,0.0,0.0,11.5,3.75,0.0,0.0,0.0,42.0,44.75,65.5,16.25,17.5,39.75,26.75,60.5,15.75,28.5,57.25,58.5,58.25,78.5,28.0,61.5,31.0,28.75,11.25,19.5,34.25,4.5,39.25,4.5,8.75,3.75,18.0,9.5,9.0,0.0,13.5,17.0,0.0,33.75,5.75,33.25,50.0,58.5,43.25,26.5,4.5,16.0,0.0,30.25,
17,,0.0,0.0,0.0,18.5,4.0,3.25,4.0,13.0,6.5,44.25,13.25,3.75,21.75,33.0,61.75,42.75,25.25,65.5,74.75,67.5,70.25,45.5,43.25,11.75,47.0,18.5,43.0,11.5,7.5,32.5,18.25,9.0,4.0,8.5,25.5,0.0,0.0,9.0,0.0,0.0,32.5,18.5,60.75,30.75,53.75,25.0,36.0,12.75,6.5,0.0,11.25,
18,,0.0,8.5,0.0,8.5,21.75,0.0,0.0,17.25,44.25,20.75,3.75,8.5,24.0,52.5,44.25,48.0,45.5,21.25,87.5,40.0,46.0,74.0,70.25,20.0,12.0,24.0,0.0,12.5,13.0,17.75,26.75,19.25,17.75,14.5,0.0,22.25,9.0,0.0,13.75,0.0,37.25,44.0,33.5,30.0,33.0,52.5,48.5,26.5,0.0,4.5,7.25,
19,,0.0,5.5,0.0,9.5,10.0,4.0,0.0,30.75,20.75,54.25,9.25,14.25,12.0,32.0,89.5,46.25,43.5,44.0,55.5,70.5,77.25,52.75,57.5,25.75,29.75,22.5,14.75,9.0,9.25,36.5,4.75,4.75,10.0,10.5,16.0,0.0,15.75,4.75,16.0,0.0,23.5,20.25,29.75,36.75,69.25,36.75,34.75,20.5,5.0,0.0,19.5,
20,,7.25,0.0,0.0,11.25,18.75,0.0,0.0,52.0,50.25,37.25,7.0,18.75,14.0,22.0,44.5,36.5,43.75,28.0,25.0,48.0,84.25,55.25,71.25,39.25,17.25,10.25,0.0,11.75,0.0,33.75,8.25,12.0,15.25,11.75,22.25,3.5,0.0,7.75,11.75,0.0,33.75,5.0,24.5,46.25,79.5,30.25,27.75,19.75,14.25,3.5,21.25,
21,,0.0,0.0,0.0,11.25,11.75,13.5,3.5,11.25,16.5,36.5,8.25,4.25,8.25,23.5,57.5,45.5,39.75,59.75,69.5,70.0,40.0,60.25,27.5,12.0,34.75,31.25,36.75,20.25,13.25,32.25,10.75,8.5,13.0,18.5,0.0,4.25,9.25,0.0,4.5,0.0,12.0,41.25,36.0,36.5,40.5,64.75,29.5,16.75,10.5,8.0,7.0,
22,,0.0,0.0,0.0,4.25,7.5,15.5,14.5,29.5,21.5,49.0,4.0,9.5,14.25,30.25,56.25,23.25,31.0,27.25,54.5,86.75,43.75,55.0,47.25,26.0,55.0,33.75,35.0,19.0,12.25,19.0,23.25,4.5,0.0,7.0,15.0,0.0,3.25,6.75,0.0,0.0,35.75,35.25,31.0,69.5,78.25,50.0,53.75,24.5,12.75,0.0,7.75,
23,,0.0,0.0,0.0,9.0,11.0,15.25,8.5,20.25,18.5,50.0,10.5,7.0,14.25,33.75,62.25,33.25,40.25,39.0,70.0,67.5,64.5,54.0,54.0,9.5,39.25,42.25,38.75,9.0,5.25,20.75,12.25,9.75,3.25,9.0,15.25,0.0,6.0,3.25,0.0,0.0,36.25,16.75,63.25,52.0,60.5,43.75,48.0,16.5,5.25,9.5,8.0,
24,,14.25,0.0,8.25,17.25,9.25,0.0,0.0,49.5,56.5,53.0,5.25,31.75,13.5,26.0,63.5,30.75,71.25,50.5,32.25,85.75,80.75,55.5,67.25,38.75,22.25,22.0,8.25,23.75,0.0,29.0,9.25,0.0,9.5,5.75,8.25,5.5,0.0,15.25,20.25,0.0,26.5,6.75,18.75,30.25,59.5,42.25,15.25,9.0,14.0,9.5,45.0,
25,,0.0,4.5,0.0,13.0,11.75,5.25,8.25,37.25,36.0,41.5,6.75,8.0,13.5,37.75,69.75,48.25,44.75,56.0,47.25,79.0,47.75,46.0,42.5,13.0,36.0,22.0,24.75,4.5,3.0,27.5,7.75,5.5,3.0,10.25,10.5,4.5,12.0,0.0,8.75,0.0,15.75,29.5,10.75,57.25,48.25,46.0,26.0,22.75,4.0,4.0,6.75,
26,,0.0,0.0,0.0,10.5,0.0,15.25,10.75,14.5,6.25,42.75,7.0,3.25,10.25,23.75,78.0,23.5,42.0,45.25,72.75,96.0,50.25,32.0,27.25,3.5,33.5,20.25,30.25,14.5,6.5,28.0,21.75,14.75,10.25,7.25,19.75,0.0,0.0,11.25,0.0,0.0,22.75,14.0,48.0,46.0,30.75,37.5,38.75,18.25,0.0,8.0,18.25,
27,,9.5,0.0,13.25,9.0,8.0,0.0,0.0,59.5,80.5,43.25,8.25,18.5,10.5,18.75,65.5,57.0,57.75,19.5,34.0,48.75,55.75,35.5,51.5,38.25,4.0,24.75,4.0,26.75,0.0,24.0,0.0,13.0,0.0,9.0,28.5,6.0,0.0,10.25,4.5,0.0,41.0,23.0,32.75,47.25,61.75,46.25,29.0,20.5,21.25,8.5,31.5,
28,,3.75,0.0,0.0,7.5,4.0,21.25,13.0,19.75,29.5,15.0,11.75,11.75,15.25,26.75,54.5,38.75,56.25,41.5,59.0,77.25,59.75,62.5,53.0,27.25,36.0,26.25,29.75,15.5,8.25,28.75,8.5,4.0,3.75,4.0,14.75,0.0,3.75,4.0,0.0,0.0,16.5,5.75,36.0,64.0,68.0,41.75,34.25,30.25,7.5,0.0,15.0,
29,,0.0,0.0,3.5,14.0,4.5,0.0,0.0,28.0,61.5,58.0,24.5,22.25,15.75,35.75,50.5,35.25,46.0,26.25,44.75,69.25,64.25,68.75,65.0,17.75,16.0,20.25,11.75,18.0,0.0,16.25,4.75,4.75,14.25,19.25,26.5,4.5,0.0,0.0,27.5,0.0,15.75,6.75,41.0,55.0,77.25,33.25,21.5,23.25,8.25,8.25,27.75,
30,,,0.0,7.75,7.75,16.75,0.0,0.0,49.25,54.5,60.75,12.25,12.75,15.5,29.5,50.75,32.25,67.0,46.25,40.0,63.5,61.75,23.5,30.5,19.0,20.25,19.75,8.25,8.25,0.0,13.75,4.0,18.75,0.0,17.5,24.75,4.0,0.0,8.25,12.75,0.0,22.5,5.0,31.75,35.0,76.75,37.25,16.0,21.0,3.5,4.75,14.25,7.5
31,,0.0,4.75,0.0,19.75,17.25,0.0,0.0,20.75,41.0,18.75,0.0,12.0,18.75,47.5,50.0,57.5,30.75,34.0,77.5,18.25,53.5,72.0,57.5,14.25,18.0,7.25,0.0,6.75,18.75,13.25,30.5,4.75,16.75,25.0,6.0,28.0,21.25,0.0,12.0,0.0,21.0,43.75,43.0,46.5,20.75,63.25,53.75,15.75,14.75,4.75,11.25,21.5
32,,0.0,0.0,0.0,3.25,0.0,5.5,3.75,15.25,10.0,48.5,0.0,0.0,8.75,31.25,51.25,26.75,63.0,54.25,69.75,77.75,53.75,53.25,44.75,23.75,43.75,22.5,21.5,8.0,13.5,10.75,8.0,12.0,4.5,8.25,14.5,0.0,7.0,12.75,0.0,0.0,29.75,22.75,21.5,64.75,50.0,35.75,42.0,32.5,3.25,3.75,18.75,23.75
33,,14.75,0.0,4.25,4.0,25.5,0.0,0.0,64.75,57.5,56.75,12.25,25.25,8.5,41.5,60.75,45.75,68.25,51.25,42.5,80.0,53.0,31.0,27.75,12.0,22.75,27.75,8.25,11.0,0.0,20.25,0.0,25.5,0.0,20.5,23.25,0.0,0.0,4.25,22.25,0.0,32.25,13.5,43.0,38.0,73.0,43.0,14.75,23.75,0.0,11.25,16.5,4.0
34,,,0.0,0.0,25.0,12.25,0.0,0.0,39.0,52.75,34.25,7.75,21.25,17.75,23.75,55.25,32.25,68.0,29.0,41.0,90.25,61.75,40.5,40.25,19.0,20.75,16.5,4.25,25.25,0.0,21.25,0.0,17.5,8.75,24.5,34.5,0.0,0.0,10.25,22.25,0.0,21.5,17.75,24.75,36.5,75.5,50.0,14.75,10.25,12.25,12.5,27.0,3.5
35,,,0.0,3.75,19.25,23.0,0.0,0.0,48.75,48.0,64.25,18.25,8.75,12.75,41.5,82.75,37.25,77.0,48.25,43.0,51.5,73.5,61.0,61.25,47.0,20.75,30.0,5.75,18.25,0.0,26.25,6.5,11.5,11.0,11.75,30.0,0.0,0.0,6.75,11.5,0.0,36.75,8.0,17.0,47.25,77.25,83.75,34.0,19.5,18.75,10.75,40.75,5.5
36,,,0.0,4.25,8.0,17.0,0.0,0.0,54.25,70.0,53.0,8.0,17.5,4.5,41.5,83.5,63.25,69.0,16.75,37.75,51.75,52.75,68.0,58.75,46.5,22.75,20.25,12.0,15.75,0.0,16.5,13.0,13.5,5.0,18.25,37.0,7.75,0.0,4.75,12.75,0.0,22.75,11.25,31.5,59.0,63.0,43.25,13.75,8.25,0.0,4.0,20.5,10.75
37,,,4.5,0.0,16.75,14.25,0.0,0.0,17.0,53.5,9.0,5.0,23.5,21.5,68.75,49.5,51.5,29.5,50.0,35.75,22.25,49.75,86.25,83.25,17.75,22.0,9.25,0.0,15.5,10.75,16.75,19.5,16.0,9.0,27.75,16.0,24.25,29.75,0.0,0.0,0.0,39.0,59.5,39.75,37.5,28.25,22.5,58.75,24.75,16.5,0.0,4.5,33.75
38,,,0.0,5.0,8.25,7.25,0.0,0.0,37.75,28.5,49.5,12.25,19.0,14.0,8.5,55.75,45.25,67.25,42.75,53.0,51.5,76.25,31.0,38.75,14.75,26.0,26.0,7.0,16.25,7.75,24.5,12.0,5.25,5.25,9.75,12.25,0.0,0.0,9.0,7.25,0.0,26.25,9.25,38.5,58.5,50.0,38.25,25.25,21.0,8.25,0.0,9.75,3.5
