,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21
21,,0.0,13.0,0.0,10.5,0.0,65.0,23.5,49.0,37.75,15.25,0.0,44.25,43.25,19.5,74.75,15.5,49.5,48.25,25.5,55.5,11.25,29.25,0.0,23.5,16.0,0.0,16.0,0.0,23.5,8.0,0.0,14.5,0.0,0.0,0.0,6.75,17.5,0.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,44.25,21.75,18.25,9.0,11.5,29.75,39.25,,,
22,,,21.25,0.0,26.0,0.0,66.5,23.5,47.5,47.25,7.75,0.0,78.75,57.5,22.25,34.25,32.25,33.25,42.0,16.5,16.0,10.5,7.5,0.0,33.25,9.75,0.0,9.0,0.0,37.5,6.25,0.0,7.75,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,29.0,9.5,18.0,38.5,8.0,37.5,10.75,20.5,28.0,56.5,,,
23,,,0.0,17.0,7.0,0.0,75.0,14.25,10.75,12.75,10.75,26.75,59.25,41.0,28.5,35.75,12.75,18.75,0.0,0.0,9.25,11.0,22.75,17.25,0.0,16.0,19.25,0.0,21.25,6.0,8.5,25.75,0.0,0.0,0.0,11.75,15.75,0.0,14.25,0.0,14.75,14.5,0.0,0.0,31.0,7.25,27.0,15.5,48.0,0.0,22.0,0.0,23.75,,,
24,,,9.75,0.0,18.75,12.5,18.75,40.0,4.5,20.5,19.25,8.75,43.0,39.75,24.25,49.0,21.75,48.75,41.5,9.5,31.0,0.0,10.25,0.0,9.5,7.25,0.0,7.25,5.0,15.75,11.25,4.5,0.0,22.0,0.0,16.25,5.0,0.0,11.25,0.0,5.0,0.0,0.0,0.0,5.75,13.75,14.0,0.0,36.75,22.5,0.0,24.75,63.5,,,
25,,,,15.75,0.0,0.0,70.5,7.5,5.25,13.0,7.0,43.75,52.25,42.0,21.0,38.75,45.0,28.75,0.0,0.0,7.5,19.5,24.0,21.0,0.0,7.25,22.0,0.0,16.25,12.0,0.0,26.5,0.0,0.0,0.0,8.0,6.5,0.0,14.5,0.0,6.0,14.0,0.0,0.0,48.75,24.25,50.25,31.5,53.25,0.0,27.0,0.0,8.75,0.0,,
26,,,,0.0,32.5,0.0,63.25,26.25,34.75,21.75,10.0,0.0,84.5,73.25,33.75,54.25,25.25,38.5,55.25,7.5,60.0,34.25,20.25,0.0,28.25,9.25,0.0,8.75,0.0,41.25,0.0,0.0,16.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,10.25,18.25,10.75,46.5,12.0,33.75,0.0,24.25,30.0,23.0,8.5,,
27,,,,17.5,0.0,0.0,88.0,0.0,22.0,11.75,30.25,19.5,50.25,48.5,46.75,43.5,21.75,66.5,0.0,0.0,22.0,0.0,14.25,25.5,0.0,16.5,5.25,0.0,0.0,15.0,11.25,12.25,0.0,0.0,0.0,7.75,7.25,0.0,0.0,0.0,5.25,27.25,0.0,0.0,56.25,0.0,32.0,37.25,32.25,0.0,36.25,0.0,9.75,0.0,,
28,,,,0.0,26.75,0.0,53.5,30.25,22.0,27.5,0.0,0.0,42.0,47.0,31.75,45.5,30.5,14.25,37.75,15.0,43.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,29.5,14.5,0.0,7.5,0.0,0.0,0.0,7.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,9.25,26.0,55.75,20.0,9.0,19.25,8.75,19.5,68.5,16.0,,
29,,,,30.25,0.0,29.75,8.75,17.75,23.5,5.5,38.25,7.5,75.0,19.75,15.0,27.25,0.0,24.75,15.25,29.5,47.0,11.0,0.0,0.0,29.75,0.0,0.0,0.0,0.0,19.0,14.25,5.75,17.75,40.5,24.25,28.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,21.0,10.25,0.0,0.0,0.0,0.0,27.5,52.0,10.0,7.5,21.75,,
30,,,,,0.0,9.0,17.75,24.5,28.5,15.75,16.0,15.75,87.75,25.25,11.0,53.25,0.0,42.5,35.0,8.25,18.5,10.75,0.0,0.0,8.75,0.0,0.0,9.25,0.0,8.25,29.5,16.0,16.0,45.0,18.5,46.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,24.5,0.0,0.0,0.0,0.0,34.75,21.0,35.25,34.0,29.75,0.0,
31,,,,,0.0,0.0,64.25,27.75,14.5,55.5,9.75,0.0,43.0,64.25,34.5,86.0,21.0,12.75,25.75,6.25,49.0,19.0,11.0,0.0,38.5,9.5,0.0,0.0,0.0,21.5,15.25,0.0,9.0,0.0,0.0,0.0,19.0,9.25,0.0,0.0,0.0,0.0,0.0,32.75,0.0,7.25,32.75,12.75,35.5,0.0,11.0,21.25,34.5,7.25,45.25,
32,,,,,41.0,0.0,62.75,0.0,9.5,9.5,37.75,72.0,28.75,48.5,41.5,9.5,22.5,15.25,0.0,0.0,11.5,31.75,31.25,28.75,0.0,0.0,34.75,0.0,22.25,23.75,20.0,7.0,0.0,0.0,0.0,28.25,15.75,0.0,0.0,0.0,0.0,18.75,0.0,0.0,90.75,27.0,64.75,54.75,9.5,0.0,28.75,0.0,12.5,0.0,29.5,
33,,,,,21.0,0.0,69.75,0.0,34.0,37.75,6.5,0.0,27.0,39.5,33.75,44.25,42.0,25.5,27.0,34.25,41.0,35.0,8.25,0.0,24.5,20.75,0.0,7.5,0.0,39.25,16.0,0.0,9.5,0.0,0.0,0.0,16.75,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,20.75,70.0,11.5,9.25,9.25,13.75,28.0,36.5,18.75,42.75,
34,,,,,0.0,9.25,22.75,0.0,25.0,14.5,29.25,15.5,54.5,30.5,9.5,49.0,0.0,40.5,63.75,18.5,29.25,11.25,0.0,0.0,10.75,0.0,0.0,33.5,0.0,25.75,22.5,14.5,14.75,17.0,9.25,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,23.5,0.0,0.0,0.0,0.0,57.25,29.0,25.0,14.75,20.5,10.25,
35,,,,,15.5,0.0,87.5,0.0,13.0,13.5,13.75,37.5,51.0,54.5,25.75,44.0,20.0,28.5,0.0,0.0,17.0,0.0,26.0,5.5,0.0,24.75,14.5,0.0,15.75,5.0,7.75,18.75,0.0,0.0,0.0,14.25,10.75,0.0,0.0,0.0,16.25,10.0,0.0,0.0,23.75,0.0,38.25,47.5,38.75,0.0,13.0,0.0,9.25,0.0,24.75,
36,,,,,0.0,22.0,10.5,19.75,8.0,17.5,26.75,0.0,95.0,16.75,0.0,28.5,0.0,32.0,44.5,0.0,11.25,12.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,17.25,20.75,31.5,20.25,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,14.0,0.0,0.0,0.0,0.0,61.25,10.75,20.75,38.25,46.0,29.75,
37,,,,,28.25,0.0,79.0,51.5,30.25,5.75,12.75,0.0,35.5,23.5,22.0,40.25,11.5,13.75,20.75,56.5,48.75,21.5,8.0,0.0,25.25,15.0,0.0,6.75,0.0,31.5,11.0,0.0,23.75,0.0,0.0,0.0,25.25,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.5,7.75,42.0,14.5,30.0,0.0,16.0,8.25,32.5,28.0,50.0,0.0
38,,,,,,0.0,82.0,40.5,40.0,5.75,12.75,0.0,32.0,30.0,24.75,50.25,0.0,21.0,20.75,41.5,32.0,17.25,8.0,0.0,20.75,22.75,0.0,6.75,0.0,38.75,6.75,0.0,19.75,0.0,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,8.75,16.0,7.75,51.0,0.0,24.75,9.25,25.25,25.0,57.5,23.5,46.5,0.0
39,,,,,,0.0,59.0,53.25,10.0,18.25,11.75,0.0,31.25,40.25,38.75,67.75,52.5,50.25,41.0,19.5,65.5,17.0,26.75,0.0,34.25,32.25,0.0,22.0,0.0,15.75,22.25,0.0,10.0,0.0,0.0,0.0,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,24.25,0.0,40.25,30.75,9.5,42.25,15.5,11.75,84.0,24.5,27.5,29.5
40,,,,,,0.0,70.25,33.5,44.25,29.0,7.75,0.0,45.75,50.0,27.5,79.75,23.75,42.0,40.25,8.25,34.75,27.75,16.5,0.0,19.5,18.5,0.0,9.75,0.0,45.0,8.25,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,17.0,20.75,0.0,21.5,7.0,11.0,10.0,24.25,17.25,17.0,8.25
