,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
10,,4.25,30.75,23.5,10.5,10.0,34.75,26.25,14.75,12.0,1.5,7.25,7.25,12.25,10.0,12.75,20.25,29.25,26.5,31.25,67.25,45.25,49.5,56.25,64.0,80.25,84.0,70.75,69.75,52.75,24.0,32.5,45.75,27.0,54.0,39.5,28.0,21.75,54.75,39.0,61.5,72.0,60.25,57.5,46.5,53.0,47.0,32.75,18.75,36.0,60.0,58.75,
11,,16.0,24.0,20.5,15.0,13.75,29.0,33.5,49.25,1.5,2.75,17.75,4.75,16.25,15.0,16.25,25.75,33.0,22.75,25.75,42.0,45.5,66.5,78.75,65.5,87.25,67.0,65.0,67.75,58.25,31.5,27.5,31.0,59.5,65.0,38.75,50.5,30.0,61.75,63.5,46.0,70.5,52.0,66.25,36.75,72.75,56.25,13.5,45.0,43.0,40.0,69.0,
12,,14.0,30.75,21.25,12.75,8.75,33.5,19.5,32.5,2.5,5.75,10.75,6.5,13.5,9.75,18.0,12.75,33.25,22.75,22.25,41.75,49.25,58.75,63.0,63.25,65.0,71.0,60.75,49.75,49.5,27.25,39.75,36.5,27.25,70.5,34.5,41.5,26.0,55.0,45.75,32.5,55.25,43.5,44.5,52.0,74.0,30.0,22.75,43.0,33.5,44.0,67.5,
13,,1.5,24.75,20.25,9.5,17.75,28.5,20.5,14.25,12.75,6.75,7.25,5.0,8.75,16.75,9.25,13.75,31.25,22.25,49.0,53.25,44.0,49.0,40.75,61.0,85.5,75.25,65.0,78.25,43.5,39.5,47.0,36.0,42.5,34.25,39.5,20.0,16.25,62.5,31.0,47.75,70.0,77.0,51.75,53.0,47.75,34.5,46.0,14.0,38.75,70.75,68.5,
14,,23.0,46.5,26.25,11.5,27.25,33.25,20.25,45.0,0.0,5.25,13.75,5.25,14.75,7.75,14.25,15.5,43.75,35.25,40.0,57.25,45.0,76.75,82.25,73.5,86.75,72.0,68.0,52.0,51.5,39.25,35.75,36.25,47.25,54.5,45.0,63.5,30.25,55.75,71.25,50.0,68.5,64.0,57.5,57.5,71.0,58.25,21.5,46.0,43.0,59.5,63.0,
15,,16.0,40.5,23.5,8.5,26.75,37.25,18.75,49.75,3.0,5.25,14.75,10.0,18.0,14.5,17.0,19.25,36.0,45.5,25.0,61.5,47.0,84.25,77.0,68.25,87.5,77.5,70.5,48.0,51.0,40.0,25.0,48.5,37.0,71.5,41.25,50.25,28.75,68.75,63.5,51.0,70.25,59.25,69.25,55.5,71.5,57.5,24.75,32.0,37.75,64.25,67.5,
16,,15.75,29.25,22.0,15.0,18.75,38.25,23.0,46.0,3.0,1.5,9.75,7.5,16.25,15.25,13.25,18.75,30.0,26.25,30.5,51.75,49.75,70.75,65.25,60.25,93.25,84.0,61.5,50.75,47.75,40.5,36.0,37.25,46.75,82.75,30.5,56.25,30.0,62.5,58.5,37.25,51.75,69.75,58.0,41.75,60.5,49.75,17.25,36.25,34.0,42.75,55.5,
17,,19.0,28.75,25.0,19.25,31.75,40.0,48.5,20.25,32.75,5.75,1.75,5.5,17.75,16.5,14.75,19.75,30.5,14.25,48.5,60.75,50.75,65.75,56.25,86.5,77.0,53.0,52.25,80.5,46.0,66.5,48.0,55.0,62.5,33.25,41.25,48.5,40.5,39.75,55.5,74.25,46.25,78.25,75.0,58.75,68.0,52.0,51.75,56.75,24.25,61.75,53.5,65.75
18,,1.25,31.0,23.5,21.5,13.25,35.5,25.5,14.25,12.5,4.75,7.5,5.75,10.25,6.25,13.0,22.75,26.0,18.0,25.0,57.25,51.75,38.25,46.5,70.5,82.25,84.0,71.5,72.5,44.5,38.25,22.5,46.25,29.0,51.75,29.0,30.75,34.75,71.5,39.0,80.25,80.25,60.75,61.25,57.0,49.0,47.25,45.5,17.75,40.5,66.25,47.0,81.5
19,,11.25,39.0,29.25,14.75,11.5,30.0,20.75,33.75,1.25,1.25,16.5,3.25,20.5,10.5,5.75,14.0,42.75,19.75,26.5,46.75,39.25,77.25,64.25,71.0,83.5,59.75,71.75,60.0,41.75,38.5,28.25,31.25,37.0,65.75,16.5,50.0,31.25,47.25,52.25,49.0,55.25,43.75,60.25,53.25,58.75,55.5,13.5,42.25,34.0,41.25,53.5,57.5
